title,description,keywords
"Required Qualifications
5+ years of experience in enterprise application development, preferably with Microsoft technologies (Power Platform, Azure, M365).","Relevant to CloudAndSecureLimited.com services: Required Qualifications
5+ years of experience in ...","Required, Qualifications, years, experience, enterprise, application, development,, preferably, Microsoft, technologies, (Power, Platform,, Azure,, M365)."
"Proven experience building and deploying AI agents or bots using Copilot Studio, Power Automate, or similar platforms.",Relevant to CloudAndSecureLimited.com services: Proven experience building and deploying AI agents...,"Proven, experience, building, deploying, agents, using, Copilot, Studio,, Power, Automate,, similar, platforms."
"Strong understanding of API integration, including RESTful services, OAuth2, and enterprise API gateways.","Relevant to CloudAndSecureLimited.com services: Strong understanding of API integration, including...","Strong, understanding, integration,, including, RESTful, services,, OAuth2,, enterprise, gateways."
"Familiarity with data governance, sensitivity labeling, and compliance frameworks in Microsoft 365.","Relevant to CloudAndSecureLimited.com services: Familiarity with data governance, sensitivity labe...","Familiarity, governance,, sensitivity, labeling,, compliance, frameworks, Microsoft"
"Experience with asynchronous messaging systems (e.g., Kafka, AWS Queues) and internal API frameworks (e.g., C#-based).",Relevant to CloudAndSecureLimited.com services: Experience with asynchronous messaging systems (e....,"Experience, asynchronous, messaging, systems, (e.g.,, Kafka,, Queues), internal, frameworks, (e.g.,, C#-based)."
"Ability to work cross-functionally with business analysts, developers, and compliance teams.",Relevant to CloudAndSecureLimited.com services: Ability to work cross-functionally with business a...,"Ability, cross-functionally, business, analysts,, developers,, compliance, teams."
Excellent communication skills and experience leading technical workshops or envisioning sessions.,Relevant to CloudAndSecureLimited.com services: Excellent communication skills and experience lead...,"Excellent, communication, skills, experience, leading, technical, workshops, envisioning, sessions."
Preferred Qualifications,Relevant to CloudAndSecureLimited.com services: Preferred Qualifications...,"Preferred, Qualifications"
"Experience with Microsoft Fabric, Dataverse, and Power Apps.","Relevant to CloudAndSecureLimited.com services: Experience with Microsoft Fabric, Dataverse, and P...","Experience, Microsoft, Fabric,, Dataverse,, Power, Apps."
"Background in financial services, audits, or data research workflows.","Relevant to CloudAndSecureLimited.com services: Background in financial services, audits, or data ...","Background, financial, services,, audits,, research, workflows."
Familiarity with value stream mapping and ROI measurement techniques.,Relevant to CloudAndSecureLimited.com services: Familiarity with value stream mapping and ROI meas...,"Familiarity, value, stream, mapping, measurement, techniques."
"Exposure to agent chaining, orchestration, and autonomous agent design.","Relevant to CloudAndSecureLimited.com services: Exposure to agent chaining, orchestration, and aut...","Exposure, agent, chaining,, orchestration,, autonomous, agent, design."
Engagement Expectations,Relevant to CloudAndSecureLimited.com services: Engagement Expectations...,"Engagement, Expectations"
Participate in weekly standups and on-demand consultations with business teams.,Relevant to CloudAndSecureLimited.com services: Participate in weekly standups and on-demand consu...,"Participate, weekly, standups, on-demand, consultations, business, teams."
Support a 6–12 month roadmap with phased delivery of agentic AI solutions.,Relevant to CloudAndSecureLimited.com services: Support a 6–12 month roadmap with phased delivery ...,"Support, month, roadmap, phased, delivery, agentic, solutions."
"Contribute to post-deployment optimization, performance tracking, and retraining cycles.","Relevant to CloudAndSecureLimited.com services: Contribute to post-deployment optimization, perfor...","Contribute, post-deployment, optimization,, performance, tracking,, retraining, cycles."
